[00:00:25] , "Team 1" , "1" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:26] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:26] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:26] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:26] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:26] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
[00:00:26] , "Team 2" , "0" , "Ana" , "EV_PlayerPosition" , "(0.31, 1.00, 45.59)" , ""
[00:00:26] , "Team 1" , "5" , "Soldier: 76" , "EV_PlayerPosition" , "(-27.58, -0.11, -27.24)" , ""
[00:00:26] , "Team 1" , "4" , "Zarya" , "EV_PlayerPosition" , "(-17.57, -0.12, -28.62)" , ""
[00:00:26] , "Team 1" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-36.89, -0.14, -24.85)" , ""
[00:00:26] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(-19.17, 1.00, -20.67)" , ""
[00:00:26] , "Team 1" , "1" , "Zenyatta" , "EV_PlayerPosition" , "(-23.54, -0.12, -28.48)" , ""
[00:00:27] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(-1.98, 0.20, -29.05)" , ""
[00:00:27] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:28] , "Team 2" , "5" , "Torbjörn" , "EV_PlayerPosition" , "(4.61, 1.00, 44.25)" , ""
[00:00:28] , "Team 2" , "4" , "Mei" , "EV_PlayerPosition" , "(1.61, 1.00, 45.98)" , ""
[00:00:28] , "Team 2" , "3" , "Zarya" , "EV_PlayerPosition" , "(3.89, 1.00, 45.18)" , ""
[00:00:28] , "Team 2" , "2" , "Roadhog" , "EV_PlayerPosition" , "(2.86, 1.00, 45.73)" , ""
[00:00:28] , "Team 2" , "1" , "Lúcio" , "EV_PlayerPosition" , "(-0.70, 1.00, 44.81)" , ""
