[00:00:37] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(44.27, -7.58, -112.07)" , ""
[00:00:37] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(41.98, -8.88, -110.76)" , ""
[00:00:37] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(44.98, -6.65, -114.00)" , ""
[00:00:37] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(45.76, -5.87, -120.02)" , ""
[00:00:37] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(42.17, -9.19, -109.70)" , ""
[00:00:37] , "Team 2" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 2" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 2" , "2" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:37] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:38] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(41.64, 0.00, -108.26)" , ""
[00:00:38] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:39] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:39] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:39] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:39] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:39] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:39] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:39] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(45.70, -5.87, -123.11)" , ""
[00:00:39] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(44.88, -5.93, -120.87)" , ""
[00:00:39] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(42.11, -5.42, -125.89)" , ""
[00:00:39] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(38.15, -4.86, -129.02)" , ""
[00:00:39] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(46.28, -5.87, -119.95)" , ""
[00:00:40] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(30.53, 0.33, -116.05)" , ""
[00:00:41] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
[00:00:41] , "Team 2" , "4" , "Soldier: 76" , "EV_PlayerPosition" , "(-8.79, -0.07, -159.11)" , ""
[00:00:41] , "Team 2" , "3" , "Roadhog" , "EV_PlayerPosition" , "(-7.73, -0.07, -160.55)" , ""
[00:00:41] , "Team 2" , "2" , "Zarya" , "EV_PlayerPosition" , "(-5.33, -0.07, -161.03)" , ""
[00:00:41] , "Team 2" , "1" , "Ana" , "EV_PlayerPosition" , "(-6.66, -0.07, -162.01)" , ""
[00:00:41] , "Team 2" , "0" , "Zenyatta" , "EV_PlayerPosition" , "(-6.41, -0.07, -159.58)" , ""
[00:00:41] , "Team 1" , "5" , "Bastion" , "EV_PlayerPosition" , "(37.43, -4.87, -129.03)" , ""
[00:00:41] , "Team 1" , "4" , "Roadhog" , "EV_PlayerPosition" , "(38.06, -4.86, -129.04)" , ""
[00:00:41] , "Team 1" , "3" , "Zarya" , "EV_PlayerPosition" , "(37.76, -4.83, -129.95)" , ""
[00:00:41] , "Team 1" , "2" , "Ana" , "EV_PlayerPosition" , "(38.16, -4.90, -128.21)" , ""
[00:00:41] , "Team 1" , "1" , "Lúcio" , "EV_PlayerPosition" , "(38.66, -4.82, -129.63)" , ""
[00:00:42] , "Team 1" , "0" , "NELS" , "EV_Knockback_Dealt" , "" , "NELS"
[00:00:42] , "Team 1" , "0" , "NELS" , "EV_Knockback_Received" , "" , "NELS"
[00:00:42] , "Team 1" , "0" , "NELS" , "EV_Knockback_Dealt" , "" , "NELS"
[00:00:42] , "Team 1" , "0" , "NELS" , "EV_Knockback_Received" , "" , "NELS"
[00:00:42] , "Team 1" , "0" , "NELS" , "EV_PlayerPosition" , "(29.92, -1.97, -118.39)" , ""
[00:00:42] , "Team 2" , "5" , "McCree" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 2" , "4" , "Soldier: 76" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 2" , "3" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 2" , "2" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 2" , "1" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 2" , "0" , "Zenyatta" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 1" , "5" , "Bastion" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 1" , "4" , "Roadhog" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 1" , "3" , "Zarya" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 1" , "2" , "Ana" , "EV_Charge_Ultimate" , "0" , ""
[00:00:42] , "Team 1" , "1" , "Lúcio" , "EV_Charge_Ultimate" , "0" , ""
[00:00:43] , "Team 1" , "0" , "NELS" , "EV_Charge_Ultimate" , "0" , ""
[00:00:43] , "Team 2" , "5" , "McCree" , "EV_PlayerPosition" , "(-7.50, -0.07, -158.11)" , ""
